"ticker","data_pregao","preco_fechamento","preco_abertura","preco_maximo","preco_minimo","volume_negociado","media_movel_5d","variacao_diaria_pct","amplitude_diaria","ano_mes","media_fechamento_mes","volume_total_mes"
"ABEV3","2026-01-28","14.949999809265137","15.0","15.119999885559082","14.8100004196167","23714500","14.95","-0.3333","0.31","2026-01","14.8533","97529100"
"ABEV3","2026-01-29","14.760000228881836","15.010000228881836","15.0600004196167","14.600000381469727","33726800","14.855","-1.6656","0.46","2026-01","14.8533","97529100"
"ABEV3","2026-01-30","14.850000381469727","14.760000228881836","14.970000267028809","14.75","40087800","14.8533","0.6098","0.22","2026-01","14.8533","97529100"
"ABEV3","2026-02-02","15.0600004196167","14.979999542236328","15.180000305175781","14.84000015258789","19323000","14.905","0.5341","0.34","2026-02","15.8953","487496900"
"ABEV3","2026-02-03","15.380000114440918","15.140000343322754","15.390000343322754","15.079999923706055","32249800","15.0","1.5852","0.31","2026-02","15.8953","487496900"
"ABEV3","2026-02-04","15.300000190734863","15.279999732971191","15.430000305175781","15.210000038146973","27049700","15.07","0.1309","0.22","2026-02","15.8953","487496900"
"ABEV3","2026-02-05","15.479999542236328","15.399999618530273","15.520000457763672","15.180000305175781","26311400","15.214","0.5195","0.34","2026-02","15.8953","487496900"
"ABEV3","2026-02-06","15.420000076293945","15.520000457763672","15.569999694824219","15.329999923706055","23511000","15.328","-0.6443","0.24","2026-02","15.8953","487496900"
"ABEV3","2026-02-09","15.390000343322754","15.460000038146973","15.5","15.15999984741211","22980900","15.394","-0.4528","0.34","2026-02","15.8953","487496900"
"ABEV3","2026-02-10","15.65999984741211","15.34000015258789","15.789999961853027","15.300000190734863","35103300","15.45","2.086","0.49","2026-02","15.8953","487496900"
"ABEV3","2026-02-11","15.770000457763672","15.770000457763672","15.949999809265137","15.630000114440918","26720300","15.544","0.0","0.32","2026-02","15.8953","487496900"
"ABEV3","2026-02-12","16.520000457763672","15.90999984741211","16.770000457763672","15.899999618530273","55037900","15.752","3.8341","0.87","2026-02","15.8953","487496900"
"ABEV3","2026-02-13","16.350000381469727","16.1200008392334","16.40999984741211","16.100000381469727","23238400","15.938","1.4268","0.31","2026-02","15.8953","487496900"
"ABEV3","2026-02-18","16.1299991607666","16.309999465942383","16.489999771118164","16.010000228881836","29705300","16.086","-1.1036","0.48","2026-02","15.8953","487496900"
"ABEV3","2026-02-19","16.170000076293945","16.190000534057617","16.280000686645508","16.049999237060547","23244500","16.188","-0.1235","0.23","2026-02","15.8953","487496900"
"ABEV3","2026-02-20","16.030000686645508","16.059999465942383","16.100000381469727","15.710000038146973","33875800","16.24","-0.1868","0.39","2026-02","15.8953","487496900"
"ABEV3","2026-02-23","16.190000534057617","15.930000305175781","16.329999923706055","15.819999694824219","29917200","16.174","1.6321","0.51","2026-02","15.8953","487496900"
"ABEV3","2026-02-24","16.579999923706055","16.229999542236328","16.579999923706055","16.229999542236328","31221100","16.22","2.1565","0.35","2026-02","15.8953","487496900"
"ABEV3","2026-02-25","16.3799991607666","16.610000610351562","16.639999389648438","16.260000228881836","29966400","16.27","-1.3847","0.38","2026-02","15.8953","487496900"
"ABEV3","2026-02-26","16.40999984741211","16.420000076293945","16.600000381469727","16.360000610351562","18040900","16.318","-0.0609","0.24","2026-02","15.8953","487496900"
"BBDC4","2026-01-28","21.70090103149414","21.48109516238589","21.70090103149414","21.311244566270396","31338800","21.7009","1.0233","0.3897","2026-01","21.4711","88898100"
"BBDC4","2026-01-29","21.4211483001709","21.820796198263892","22.000638228823615","21.141393818670057","31208200","21.561","-1.8315","0.8592","2026-01","21.4711","88898100"
"BBDC4","2026-01-30","21.291261672973633","21.421148431696043","21.620971429133697","21.031490061200323","26351100","21.4711","-0.6063","0.5895","2026-01","21.4711","88898100"
"BBDC4","2026-02-02","21.561025619506836","21.361200708065507","21.581008491785287","21.29126256076252","25109800","21.4936","0.9355","0.2897","2026-02","21.1959","696009200"
"BBDC4","2026-02-03","21.68000030517578","21.799999237060547","22.1200008392334","21.56999969482422","24905100","21.5309","-0.5505","0.55","2026-02","21.1959","696009200"
"BBDC4","2026-02-04","20.979999542236328","21.280000686645508","21.420000076293945","20.65999984741211","46217700","21.3867","-1.4098","0.76","2026-02","21.1959","696009200"
"BBDC4","2026-02-05","21.149999618530273","21.100000381469727","21.270000457763672","20.450000762939453","61032100","21.3325","0.237","0.82","2026-02","21.1959","696009200"
"BBDC4","2026-02-06","20.610000610351562","20.0","20.700000762939453","19.829999923706055","94063600","21.1962","3.05","0.87","2026-02","21.1959","696009200"
"BBDC4","2026-02-09","20.90999984741211","20.81999969482422","20.940000534057617","20.329999923706055","40230200","21.066","0.4323","0.61","2026-02","21.1959","696009200"
"BBDC4","2026-02-10","20.920000076293945","20.8799991607666","21.18000030517578","20.75","25521200","20.914","0.1916","0.43","2026-02","21.1959","696009200"
"BBDC4","2026-02-11","21.540000915527344","21.18000030517578","21.600000381469727","21.020000457763672","50967100","21.026","1.6997","0.58","2026-02","21.1959","696009200"
"BBDC4","2026-02-12","21.229999542236328","21.389999389648438","21.6200008392334","21.229999542236328","32620300","21.042","-0.748","0.39","2026-02","21.1959","696009200"
"BBDC4","2026-02-13","20.969999313354492","20.989999771118164","21.1200008392334","20.40999984741211","45493100","21.114","-0.0953","0.71","2026-02","21.1959","696009200"
"BBDC4","2026-02-18","20.90999984741211","21.049999237060547","21.170000076293945","20.700000762939453","28450400","21.114","-0.6651","0.47","2026-02","21.1959","696009200"
"BBDC4","2026-02-19","21.329999923706055","20.90999984741211","21.5","20.799999237060547","42690400","21.196","2.0086","0.7","2026-02","21.1959","696009200"
"BBDC4","2026-02-20","21.760000228881836","21.09000015258789","21.850000381469727","21.040000915527344","36313800","21.24","3.1769","0.81","2026-02","21.1959","696009200"
"BBDC4","2026-02-23","21.229999542236328","21.6299991607666","21.75","21.149999618530273","37464600","21.24","-1.8493","0.6","2026-02","21.1959","696009200"
"BBDC4","2026-02-24","21.399999618530273","21.31999969482422","21.510000228881836","21.049999237060547","30613800","21.326","0.3752","0.46","2026-02","21.1959","696009200"
"BBDC4","2026-02-25","21.170000076293945","21.579999923706055","21.59000015258789","21.06999969482422","34124600","21.378","-1.8999","0.52","2026-02","21.1959","696009200"
"BBDC4","2026-02-26","20.979999542236328","21.190000534057617","21.3799991607666","20.700000762939453","40191400","21.308","-0.991","0.68","2026-02","21.1959","696009200"
"ITUB4","2026-01-28","46.32148361206055","45.62176255547529","46.40144966280495","45.61176822907211","36337500","46.3215","1.5337","0.7897","2026-01","45.9783","110707200"
"ITUB4","2026-01-29","46.131561279296875","46.6613482859425","47.031199376628706","45.631761065277075","36252700","46.2265","-1.1354","1.3994","2026-01","45.9783","110707200"
"ITUB4","2026-01-30","45.48181915283203","46.071583553714355","46.361468590948874","44.962026476361764","38117000","45.9783","-1.2801","1.3994","2026-01","45.9783","110707200"
"ITUB4","2026-02-02","45.880001068115234","45.790000915527344","46.099998474121094","45.43000030517578","28095400","45.9537","0.1965","0.67","2026-02","47.5218","620494200"
"ITUB4","2026-02-03","46.13999938964844","46.29999923706055","46.97999954223633","45.88999938964844","48570600","45.991","-0.3456","1.09","2026-02","47.5218","620494200"
"ITUB4","2026-02-04","44.619998931884766","45.900001525878906","45.97999954223633","44.04999923706055","48683500","45.6507","-2.7887","1.93","2026-02","47.5218","620494200"
"ITUB4","2026-02-05","45.52000045776367","45.2400016784668","45.880001068115234","44.7400016784668","36014400","45.5284","0.6189","1.14","2026-02","47.5218","620494200"
"ITUB4","2026-02-06","46.75","45.59000015258789","46.939998626708984","45.11000061035156","38175900","45.782","2.5444","1.83","2026-02","47.5218","620494200"
"ITUB4","2026-02-09","48.310001373291016","47.0","48.400001525878906","46.7400016784668","41656900","46.268","2.7872","1.66","2026-02","47.5218","620494200"
"ITUB4","2026-02-10","48.41999816894531","48.310001373291016","49.189998626708984","48.189998626708984","43939300","46.724","0.2277","1.0","2026-02","47.5218","620494200"
"ITUB4","2026-02-11","49.369998931884766","48.79999923706055","49.66999816894531","48.599998474121094","45819200","47.674","1.168","1.07","2026-02","47.5218","620494200"
"ITUB4","2026-02-12","48.2400016784668","49.04999923706055","49.099998474121094","47.869998931884766","42023800","48.218","-1.6514","1.23","2026-02","47.5218","620494200"
"ITUB4","2026-02-13","47.77000045776367","48.06999969482422","48.06999969482422","46.599998474121094","32353500","48.422","-0.6241","1.47","2026-02","47.5218","620494200"
"ITUB4","2026-02-18","47.9900016784668","48.06999969482422","48.41999816894531","47.52000045776367","23368500","48.358","-0.1664","0.9","2026-02","47.5218","620494200"
"ITUB4","2026-02-19","48.54999923706055","48.099998474121094","49.16999816894531","47.93000030517578","32026400","48.384","0.9356","1.24","2026-02","47.5218","620494200"
"ITUB4","2026-02-20","49.22999954223633","48.04999923706055","49.290000915527344","48.02000045776367","31655900","48.356","2.4558","1.27","2026-02","47.5218","620494200"
"ITUB4","2026-02-23","47.45000076293945","48.79999923706055","48.88999938964844","47.290000915527344","34148200","48.198","-2.7664","1.6","2026-02","47.5218","620494200"
"ITUB4","2026-02-24","48.16999816894531","47.63999938964844","48.349998474121094","47.25","38465900","48.278","1.1125","1.1","2026-02","47.5218","620494200"
"ITUB4","2026-02-25","47.790000915527344","48.34000015258789","48.5","47.06999969482422","28980200","48.238","-1.1378","1.43","2026-02","47.5218","620494200"
"ITUB4","2026-02-26","47.66999816894531","47.790000915527344","48.150001525878906","47.15999984741211","26516600","48.062","-0.2511","0.99","2026-02","47.5218","620494200"
"PETR4","2026-01-28","37.34000015258789","36.54999923706055","37.439998626708984","36.5","46054700","37.34","2.1614","0.94","2026-01","37.6","150572200"
"PETR4","2026-01-29","37.70000076293945","38.0","38.58000183105469","37.56999969482422","58722800","37.52","-0.7895","1.01","2026-01","37.6","150572200"
"PETR4","2026-01-30","37.7599983215332","37.22999954223633","37.97999954223633","37.02000045776367","45794700","37.6","1.4236","0.96","2026-01","37.6","150572200"
"PETR4","2026-02-02","37.2400016784668","36.779998779296875","37.2400016784668","36.619998931884766","38505600","37.51","1.2507","0.62","2026-02","37.8265","658968300"
"PETR4","2026-02-03","37.58000183105469","37.5099983215332","38.31999969482422","37.13999938964844","57152800","37.524","0.1866","1.18","2026-02","37.8265","658968300"
"PETR4","2026-02-04","37.52000045776367","37.45000076293945","37.68000030517578","36.970001220703125","37955800","37.56","0.1869","0.71","2026-02","37.8265","658968300"
"PETR4","2026-02-05","37.0","37.400001525878906","37.61000061035156","36.900001525878906","35933100","37.42","-1.0695","0.71","2026-02","37.8265","658968300"
"PETR4","2026-02-06","36.650001525878906","37.209999084472656","37.27000045776367","36.45000076293945","27681100","37.198","-1.505","0.82","2026-02","37.8265","658968300"
"PETR4","2026-02-09","37.31999969482422","36.65999984741211","37.45000076293945","36.54999923706055","27089800","37.214","1.8003","0.9","2026-02","37.8265","658968300"
"PETR4","2026-02-10","37.349998474121094","37.31999969482422","37.58000183105469","36.90999984741211","24585300","37.168","0.0804","0.67","2026-02","37.8265","658968300"
"PETR4","2026-02-11","38.08000183105469","37.72999954223633","38.459999084472656","37.689998626708984","55863800","37.28","0.9276","0.77","2026-02","37.8265","658968300"
"PETR4","2026-02-12","37.11000061035156","38.04999923706055","38.04999923706055","36.79999923706055","39856000","37.302","-2.4704","1.25","2026-02","37.8265","658968300"
"PETR4","2026-02-13","36.88999938964844","37.15999984741211","37.15999984741211","36.529998779296875","27507000","37.35","-0.7266","0.63","2026-02","37.8265","658968300"
"PETR4","2026-02-18","37.189998626708984","37.06999969482422","37.38999938964844","36.849998474121094","32276700","37.324","0.3237","0.54","2026-02","37.8265","658968300"
"PETR4","2026-02-19","37.810001373291016","37.5","38.2400016784668","37.439998626708984","48355000","37.416","0.8267","0.8","2026-02","37.8265","658968300"
"PETR4","2026-02-20","37.970001220703125","37.66999816894531","37.970001220703125","37.45000076293945","51949800","37.394","0.7964","0.52","2026-02","37.8265","658968300"
"PETR4","2026-02-23","38.59000015258789","37.970001220703125","39.25","37.849998474121094","55061500","37.69","1.6329","1.4","2026-02","37.8265","658968300"
"PETR4","2026-02-24","39.56999969482422","38.86000061035156","39.65999984741211","38.86000061035156","43263600","38.226","1.8271","0.8","2026-02","37.8265","658968300"
"PETR4","2026-02-25","39.56999969482422","39.939998626708984","39.970001220703125","39.029998779296875","26012300","38.702","-0.9264","0.94","2026-02","37.8265","658968300"
"PETR4","2026-02-26","39.61000061035156","39.29999923706055","39.79999923706055","38.970001220703125","29919100","39.062","0.7888","0.83","2026-02","37.8265","658968300"
"VALE3","2026-01-28","86.97000122070312","85.29000091552734","87.48999786376953","85.0","28473800","86.97","1.9698","2.49","2026-01","86.2333","112168400"
"VALE3","2026-01-29","87.41000366210938","88.0","89.5","86.80999755859375","42013200","87.19","-0.6705","2.69","2026-01","86.2333","112168400"
"VALE3","2026-01-30","84.31999969482422","85.66999816894531","87.9000015258789","84.0","41681400","86.2333","-1.5758","3.9","2026-01","86.2333","112168400"
"VALE3","2026-02-02","84.81999969482422","84.41999816894531","85.8499984741211","84.04000091552734","22289400","85.88","0.4738","1.81","2026-02","87.3247","530954700"
"VALE3","2026-02-03","88.98999786376953","86.41999816894531","89.0","86.41999816894531","37709700","86.502","2.9738","2.58","2026-02","87.3247","530954700"
"VALE3","2026-02-04","89.43000030517578","88.51000213623047","89.58999633789062","87.55000305175781","51744400","86.994","1.0394","2.04","2026-02","87.3247","530954700"
"VALE3","2026-02-05","86.44999694824219","87.98999786376953","88.93000030517578","86.23999786376953","57049000","86.802","-1.7502","2.69","2026-02","87.3247","530954700"
"VALE3","2026-02-06","85.62999725341797","86.41000366210938","87.55999755859375","85.19999694824219","28889600","87.064","-0.9027","2.36","2026-02","87.3247","530954700"
"VALE3","2026-02-09","87.30999755859375","86.6500015258789","87.68000030517578","84.62999725341797","26531100","87.562","0.7617","3.05","2026-02","87.3247","530954700"
"VALE3","2026-02-10","87.05000305175781","86.72000122070312","87.73999786376953","86.25","14177200","87.174","0.3805","1.49","2026-02","87.3247","530954700"
"VALE3","2026-02-11","90.08999633789062","88.6500015258789","90.31999969482422","88.4800033569336","28395300","87.306","1.6244","1.84","2026-02","87.3247","530954700"
"VALE3","2026-02-12","89.2300033569336","89.8499984741211","91.62000274658203","89.08000183105469","51472200","87.862","-0.69","2.54","2026-02","87.3247","530954700"
"VALE3","2026-02-13","87.02999877929688","87.56999969482422","88.13999938964844","86.0199966430664","28644800","88.142","-0.6167","2.12","2026-02","87.3247","530954700"
"VALE3","2026-02-18","83.91999816894531","85.0999984741211","85.1500015258789","83.55999755859375","20898700","87.464","-1.3866","1.59","2026-02","87.3247","530954700"
"VALE3","2026-02-19","83.45999908447266","83.02999877929688","84.3499984741211","82.33000183105469","28410900","86.746","0.5179","2.02","2026-02","87.3247","530954700"
"VALE3","2026-02-20","86.80999755859375","83.80000305175781","86.80999755859375","83.41999816894531","40577200","86.09","3.5919","3.39","2026-02","87.3247","530954700"
"VALE3","2026-02-23","87.38999938964844","86.80999755859375","88.31999969482422","86.41999816894531","21193900","85.722","0.6681","1.9","2026-02","87.3247","530954700"
"VALE3","2026-02-24","87.7300033569336","87.4000015258789","88.70999908447266","87.4000015258789","19760700","85.862","0.3776","1.31","2026-02","87.3247","530954700"
"VALE3","2026-02-25","89.97000122070312","89.02999877929688","90.33000183105469","88.51000213623047","28707500","87.072","1.0558","1.82","2026-02","87.3247","530954700"
"VALE3","2026-02-26","89.20999908447266","88.94000244140625","89.37999725341797","87.04000091552734","24503100","88.222","0.3036","2.34","2026-02","87.3247","530954700"
